ダウンロードした時刻：2024/01/3019:23:05

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄
2022/2/12,4.7,8,1,0,1,8,1,薄曇後時々晴,8,1,9.9,8,1,0.2,8,1,0,1,8,1,-2.5,8,1,0.0,0,8,1,晴一時薄曇,8,1,1.1,8,1,-6.8,8,1,95,0,8,1,7.1,8,1,0,1,8,1,薄曇後一時晴,8,1,13.3,8,1,2.2,8,1,0,1,8,1,4.8,8,1,0.0,8,1,,0,1,8.9,8,1,-0.2,8,1,0,8,1,20.7,8,1,4.5,0,8,1,曇一時雨,8,1,23.5,8,1,18.6,8,1,0,1,8,1
2022/2/13,3.1,8,1,22.5,0,8,1,曇後雨,8,1,5.0,8,1,0.8,8,1,0,1,8,1,-1.0,8,1,1.0,0,8,1,晴,8,1,1.5,8,1,-3.9,8,1,99,0,8,1,4.8,8,1,8.0,0,8,1,曇後雨,8,1,7.1,8,1,3.7,8,1,0,1,8,1,6.4,8,1,11.0,8,1,,0,1,8.0,8,1,5.0,8,1,0,8,1,20.6,8,1,23.0,0,8,1,曇時々雨一時晴,8,1,23.1,8,1,18.5,8,1,0,1,8,1
2022/2/14,3.9,8,1,3.5,0,8,1,曇後一時晴,8,1,8.0,8,1,0.8,8,1,0,1,8,1,-2.0,8,1,0.5,0,8,1,雪時々曇後晴,8,1,0.9,8,1,-5.3,8,1,93,0,8,1,7.0,8,1,0,1,8,1,曇後晴,8,1,11.5,8,1,4.1,8,1,0,1,8,1,6.2,8,1,0.5,8,1,,0,1,12.6,8,1,-0.1,8,1,0,8,1,17.7,8,1,11.5,0,8,1,雨後一時曇,8,1,18.8,8,1,16.1,8,1,0,1,8,1
2022/2/15,5.5,8,1,0,1,8,1,晴時々曇,8,1,11.6,8,1,1.1,8,1,0,1,8,1,-4.1,8,1,0.5,0,8,1,曇時々雪,8,1,0.2,8,1,-8.2,8,1,90,0,8,1,7.4,8,1,0.0,0,8,1,曇時々晴,8,1,12.6,8,1,1.9,8,1,0,1,8,1,3.6,8,1,0.0,8,1,,0,1,7.9,8,1,-1.8,8,1,0,8,1,17.9,8,1,0.0,0,8,1,晴,8,1,20.8,8,1,14.6,8,1,0,1,8,1
2022/2/16,6.0,8,1,0.0,0,8,1,晴,8,1,11.8,8,1,1.3,8,1,0,1,8,1,-2.3,8,1,3.0,0,8,1,雪後晴,8,1,2.0,8,1,-5.2,8,1,94,0,8,1,4.8,8,1,0.0,0,8,1,晴一時雪,8,1,7.5,8,1,2.0,8,1,0,1,8,1,0.5,8,1,0.0,8,1,,0,1,2.3,8,1,-0.9,8,1,0,8,1,16.2,8,1,0.0,0,8,1,曇一時雨,8,1,18.7,8,1,14.1,8,1,0,1,8,1
2022/2/17,4.6,8,1,0,1,8,1,晴,8,1,9.7,8,1,0.5,8,1,0,1,8,1,-1.8,8,1,1.5,0,8,1,晴一時雪,8,1,1.2,8,1,-4.1,8,1,90,0,8,1,2.7,8,1,0,1,8,1,晴,8,1,6.3,8,1,0.2,8,1,0,1,8,1,-1.6,8,1,0.0,8,1,,0,1,2.2,8,1,-4.0,8,1,0,8,1,13.9,8,1,5.0,0,5,1,雨一時曇,8,1,15.8,5,1,12.2,8,1,0,1,8,1
2022/2/18,5.7,8,1,0,1,8,1,快晴,8,1,11.4,8,1,-0.2,8,1,0,1,8,1,-2.9,8,1,2.0,0,8,1,晴時々曇後一時雪,8,1,-0.1,8,1,-5.9,8,1,92,0,8,1,4.6,8,1,0.0,0,8,1,曇時々晴,8,1,8.7,8,1,2.1,8,1,0,1,8,1,2.2,8,1,0.0,8,1,,0,1,8.4,8,1,-3.7,8,1,0,8,1,15.2,8,1,15.5,0,8,1,雨一時曇,8,1,17.0,8,1,12.6,8,1,0,1,8,1
2022/2/19,5.0,8,1,6.5,0,8,1,曇後一時雨,8,1,8.9,8,1,1.5,8,1,0,1,8,1,-1.8,8,1,1.0,0,8,1,曇,8,1,2.1,8,1,-7.2,8,1,91,0,8,1,4.9,8,1,8.0,0,8,1,曇後雨,8,1,8.6,8,1,1.7,8,1,0,1,8,1,5.1,8,1,7.0,8,1,,0,1,8.2,8,1,2.6,8,1,0,8,1,18.4,8,1,5.5,0,8,1,曇後時々雨,8,1,21.1,8,1,16.5,8,1,0,1,8,1
2022/2/20,5.9,8,1,9.0,0,8,1,曇時々雨,8,1,10.0,8,1,2.4,8,1,0,1,8,1,-0.6,8,1,9.0,0,8,1,雪時々曇一時晴、あられを伴う,8,1,2.6,8,1,-4.0,8,1,95,0,8,1,5.6,8,1,0.5,0,8,1,晴時々曇,8,1,11.0,8,1,1.9,8,1,0,1,8,1,0.5,8,1,0.5,8,1,,0,1,4.3,8,1,-3.5,8,1,0,8,1,14.4,8,1,0.0,0,8,1,雨時々曇,8,1,17.1,8,1,13.1,8,1,0,1,8,1
2022/2/21,4.1,8,1,0,1,8,1,快晴,8,1,8.7,8,1,1.2,8,1,0,1,8,1,-2.3,8,1,21.0,0,8,1,雪、大風を伴う,8,1,0.3,8,1,-4.0,8,1,115,0,8,1,3.7,8,1,0.0,0,8,1,晴一時曇,8,1,7.6,8,1,1.0,8,1,0,1,8,1,-0.5,8,1,0.0,8,1,,0,1,4.2,8,1,-4.0,8,1,0,8,1,14.4,8,1,0.0,0,8,1,曇時々雨,8,1,16.4,8,1,13.1,8,1,0,1,8,1
2022/2/22,4.4,8,1,0,1,8,1,晴,8,1,10.0,8,1,-0.5,8,1,0,1,8,1,-2.4,8,1,19.5,0,8,1,雪、あられを伴う,8,1,-0.9,8,1,-3.6,8,1,124,0,8,1,4.4,8,1,0.0,0,8,1,晴後時々曇一時雪,8,1,9.0,8,1,2.0,8,1,0,1,8,1,1.8,8,1,0.0,8,1,,0,1,5.9,8,1,-3.4,8,1,0,8,1,15.4,8,1,0.0,0,8,1,曇一時雨,8,1,16.6,8,1,13.8,8,1,0,1,8,1
2022/2/23,4.4,8,1,0,1,8,1,晴,8,1,10.3,8,1,0.1,8,1,0,1,8,1,-2.5,8,1,7.0,0,8,1,雪一時晴、あられを伴う,8,1,-0.2,8,1,-4.0,8,1,129,0,8,1,3.4,8,1,0.0,0,8,1,曇時々晴後時々雪,8,1,7.6,8,1,-0.2,8,1,0,1,8,1,1.0,8,1,0.0,8,1,,0,1,4.6,8,1,-2.0,8,1,0,8,1,16.0,8,1,46.5,0,8,1,大雨,8,1,18.3,8,1,14.0,8,1,0,1,8,1
2022/2/24,4.8,8,1,0,1,8,1,晴一時曇,8,1,10.1,8,1,1.7,8,1,0,1,8,1,-1.5,8,1,0.0,0,8,1,晴時々曇,8,1,1.6,8,1,-4.1,8,1,124,0,8,1,3.8,8,1,0,1,8,1,晴,8,1,8.0,8,1,0.5,8,1,0,1,8,1,0.5,8,1,0.0,8,1,,0,1,6.5,8,1,-5.0,8,1,0,8,1,15.4,8,1,2.5,0,8,1,曇,8,1,18.1,8,1,14.3,8,1,0,1,8,1
2022/2/25,6.5,8,1,0,1,8,1,快晴,8,1,13.4,8,1,-0.1,8,1,0,1,8,1,0.4,8,1,0.0,0,8,1,曇後雪,8,1,1.9,8,1,-2.3,8,1,118,0,8,1,5.1,8,1,0,1,8,1,晴,8,1,9.5,8,1,-0.5,8,1,0,1,8,1,1.6,8,1,0.0,8,1,,0,1,8.4,8,1,-3.9,8,1,0,8,1,15.7,8,1,0,1,8,1,晴時々曇,8,1,19.0,8,1,13.3,8,1,0,1,8,1
2022/2/26,8.6,8,1,0,1,8,1,晴,8,1,14.7,8,1,3.0,8,1,0,1,8,1,3.9,8,1,0.0,0,8,1,曇時々晴,8,1,8.0,8,1,-2.2,8,1,113,0,8,1,7.3,8,1,0,1,8,1,快晴,8,1,12.5,8,1,2.3,8,1,0,1,8,1,2.9,8,1,0.0,8,1,,0,1,11.3,8,1,-5.7,8,1,0,8,1,18.4,8,1,0,1,8,1,曇時々晴,8,1,21.4,8,1,14.1,8,1,0,1,8,1
2022/2/27,9.5,8,1,0,1,8,1,快晴,8,1,18.5,8,1,3.2,8,1,0,1,8,1,1.5,8,1,0.5,0,8,1,雪時々曇,8,1,4.5,8,1,-1.6,8,1,107,0,8,1,8.9,8,1,0.0,0,8,1,晴一時曇,8,1,13.1,8,1,4.6,8,1,0,1,8,1,7.1,8,1,0.0,8,1,,0,1,13.0,8,1,-1.6,8,1,0,8,1,18.9,8,1,3.0,0,8,1,晴一時曇,8,1,21.0,8,1,16.9,8,1,0,1,8,1
2022/2/28,9.8,8,1,0,1,8,1,晴後時々曇,8,1,15.9,8,1,4.5,8,1,0,1,8,1,-0.4,8,1,3.5,0,8,1,雪時々曇一時晴,8,1,2.1,8,1,-2.5,8,1,109,0,8,1,8.6,8,1,0,1,8,1,晴後一時薄曇,8,1,14.6,8,1,2.5,8,1,0,1,8,1,5.1,8,1,0.0,8,1,,0,1,14.6,8,1,-4.9,8,1,0,8,1,20.2,8,1,0.0,0,8,1,晴時々曇,8,1,24.3,8,1,15.6,8,1,0,1,8,1
2022/3/1,11.0,8,1,0.0,0,8,1,薄曇後一時晴,8,1,18.3,8,1,4.9,8,1,0,1,8,1,0.5,8,1,2.5,0,8,1,曇後雪,8,1,4.2,8,1,-2.0,8,1,105,0,8,1,7.1,8,1,14.5,0,8,1,曇後雨,8,1,8.9,8,1,4.8,8,1,0,1,8,1,8.3,8,1,9.5,8,1,,0,1,14.9,8,1,1.7,8,1,0,8,1,21.7,8,1,0.0,0,8,1,晴,8,1,24.6,8,1,19.6,8,1,0,1,8,1
2022/3/2,11.2,8,1,4.0,0,8,1,曇時々晴,8,1,16.3,8,1,7.2,8,1,0,1,8,1,0.0,8,1,0.0,0,8,1,晴時々曇一時雪,8,1,2.7,8,1,-3.5,8,1,104,0,8,1,9.8,8,1,0.0,0,8,1,曇時々晴一時雨,8,1,13.9,8,1,7.0,8,1,0,1,8,1,7.8,8,1,0.0,8,1,,0,1,11.2,8,1,3.5,8,1,0,8,1,18.8,8,1,1.5,0,8,1,雨時々曇,8,1,21.5,8,1,16.5,8,1,0,1,8,1
2022/3/3,9.5,8,1,0.0,0,8,1,晴一時曇,8,1,15.0,8,1,4.7,8,1,0,1,8,1,-0.7,8,1,4.0,0,8,1,雪時々曇一時晴,8,1,1.8,8,1,-2.7,8,1,108,0,8,1,9.2,8,1,0.0,0,8,1,晴後一時雨,8,1,12.5,8,1,5.9,8,1,0,1,8,1,5.3,8,1,0.0,8,1,,0,1,10.7,8,1,-0.7,8,1,0,8,1,17.8,8,1,0,1,8,1,晴,8,1,20.3,8,1,14.9,8,1,0,1,8,1
2022/3/4,8.1,8,1,0,1,8,1,薄曇時々晴,8,1,12.2,8,1,4.7,8,1,0,1,8,1,0.6,8,1,0,1,8,1,晴,8,1,4.0,8,1,-3.2,8,1,107,0,8,1,8.3,8,1,0,1,8,1,曇一時晴,8,1,12.7,8,1,3.6,8,1,0,1,8,1,3.5,8,1,0.0,8,1,,0,1,10.7,8,1,-2.9,8,1,0,8,1,20.4,8,1,1.0,0,8,1,曇時々晴後一時雨,8,1,24.0,8,1,16.4,8,1,0,1,8,1
2022/3/5,11.2,8,1,0,1,8,1,快晴,8,1,17.9,8,1,4.3,8,1,0,1,8,1,0.9,8,1,4.5,0,8,1,曇後雪,8,1,3.1,8,1,-2.2,8,1,101,0,8,1,10.3,8,1,0,1,8,1,晴,8,1,16.8,8,1,4.5,8,1,0,1,8,1,7.5,8,1,0.0,8,1,,0,1,14.5,8,1,-1.3,8,1,0,8,1,21.1,8,1,0,1,8,1,晴時々曇,8,1,23.4,8,1,19.7,8,1,0,1,8,1
2022/3/6,8.1,8,1,0,1,8,1,晴後一時曇,8,1,13.9,8,1,4.6,8,1,0,1,8,1,0.9,8,1,0.5,0,8,1,晴後一時曇,8,1,3.8,8,1,-2.6,8,1,100,0,8,1,6.4,8,1,0.0,0,8,1,晴一時雨,8,1,10.3,8,1,4.1,8,1,0,1,8,1,4.1,8,1,0.0,8,1,,0,1,10.1,8,1,-2.5,8,1,0,8,1,18.4,8,1,0,1,8,1,晴一時曇,8,1,19.8,8,1,16.3,8,1,0,1,8,1
2022/3/7,8.3,8,1,0,1,8,1,晴後薄曇,8,1,14.2,8,1,3.9,8,1,0,1,8,1,1.3,8,1,0.0,0,8,1,曇後時々雪、あられを伴う,8,1,3.4,8,1,-0.7,8,1,97,0,8,1,6.2,8,1,0.0,0,8,1,曇,8,1,10.1,8,1,3.7,8,1,0,1,8,1,3.6,8,1,0.0,8,1,,0,1,11.5,8,1,-3.2,8,1,0,8,1,15.7,8,1,24.5,0,8,1,雨時々曇,8,1,18.0,8,1,14.4,8,1,0,1,8,1
2022/3/8,6.3,8,1,0.5,0,8,1,雨後曇,8,1,8.0,8,1,4.1,8,1,0,1,8,1,1.3,8,1,1.0,0,8,1,曇時々雪後一時晴,8,1,3.4,8,1,-0.9,8,1,96,0,8,1,6.9,8,1,0,1,8,1,晴,8,1,12.7,8,1,1.7,8,1,0,1,8,1,4.3,8,1,0.0,8,1,,0,1,13.2,8,1,-3.8,8,1,0,8,1,17.2,8,1,1.0,0,8,1,晴,8,1,20.1,8,1,14.7,8,1,0,1,8,1
2022/3/9,7.9,8,1,0,1,8,1,晴後薄曇,8,1,13.6,8,1,2.6,8,1,0,1,8,1,1.3,8,1,0,1,8,1,晴一時曇,8,1,4.7,8,1,-2.4,8,1,94,0,8,1,8.4,8,1,0,1,8,1,薄曇後晴,8,1,14.1,8,1,3.3,8,1,0,1,8,1,5.5,8,1,0.0,8,1,,0,1,14.5,8,1,-2.7,8,1,0,8,1,17.7,8,1,0,1,8,1,快晴,8,1,20.7,8,1,13.6,8,1,0,1,8,1
2022/3/10,9.0,8,1,0,1,8,1,晴時々薄曇,8,1,14.3,8,1,3.7,8,1,0,1,8,1,3.1,8,1,0,1,8,1,快晴,8,1,8.1,8,1,-2.7,8,1,91,0,8,1,10.2,8,1,0,1,8,1,晴,8,1,17.0,8,1,4.3,8,1,0,1,8,1,6.3,8,1,0.0,8,1,,0,1,15.7,8,1,-2.7,8,1,0,8,1,18.7,8,1,0,1,8,1,晴,8,1,21.9,8,1,14.0,8,1,0,1,8,1
2022/3/11,12.0,8,1,0,1,8,1,晴後一時薄曇,8,1,18.7,8,1,5.2,8,1,0,1,8,1,4.1,8,1,0.5,0,8,1,曇一時雨,8,1,6.2,8,1,1.0,8,1,86,0,8,1,12.0,8,1,0,1,8,1,薄曇,8,1,18.1,8,1,6.1,8,1,0,1,8,1,10.0,8,1,0.0,8,1,,0,1,18.1,8,1,3.1,8,1,0,8,1,20.3,8,1,0,1,8,1,曇,8,1,23.3,8,1,19.0,8,1,0,1,8,1
2022/3/12,14.6,8,1,0,1,8,1,晴,8,1,21.8,8,1,7.8,8,1,0,1,8,1,3.1,8,1,5.0,0,8,1,曇時々雨後晴、あられを伴う,8,1,4.8,8,1,0.3,8,1,82,0,8,1,15.6,8,1,0,1,8,1,晴,8,1,20.2,8,1,10.8,8,1,0,1,8,1,13.6,8,1,0.0,8,1,,0,1,21.0,8,1,6.2,8,1,0,8,1,19.9,8,1,0,1,8,1,晴,8,1,23.1,8,1,16.1,8,1,0,1,8,1
2022/3/13,14.7,8,1,0,1,8,1,薄曇,8,1,19.5,8,1,8.7,8,1,0,1,8,1,2.6,8,1,0,1,8,1,晴時々曇,8,1,6.9,8,1,-0.7,8,1,81,0,8,1,16.7,8,1,0.0,0,8,1,曇,8,1,21.5,8,1,12.0,8,1,0,1,8,1,14.1,8,1,2.0,8,1,,0,1,20.6,8,1,6.2,8,1,0,8,1,21.7,8,1,0.0,0,8,1,晴,8,1,25.7,8,1,17.9,8,1,0,1,8,1
2022/3/14,16.4,8,1,1.0,0,8,1,晴一時雨,8,1,24.1,8,1,7.8,8,1,0,1,8,1,3.8,8,1,0,1,8,1,曇後晴,8,1,6.7,8,1,1.4,8,1,76,0,8,1,17.6,8,1,14.0,0,8,1,曇後晴,8,1,22.2,8,1,14.4,8,1,0,1,8,1,17.8,8,1,1.0,8,1,,0,1,21.2,8,1,15.0,8,1,0,8,1,21.7,8,1,0.0,0,8,1,曇時々晴,8,1,24.7,8,1,19.0,8,1,0,1,8,1
2022/3/15,12.7,8,1,0.0,0,8,1,曇後晴,8,1,20.3,8,1,7.2,8,1,0,1,8,1,1.1,8,1,14.5,0,5,1,雪,8,1,2.5,8,1,0.3,8,1,79,0,8,1,16.7,8,1,0.0,0,8,1,晴,8,1,22.0,8,1,10.7,8,1,0,1,8,1,14.8,8,1,6.0,8,1,,0,1,21.0,8,1,5.9,8,1,0,8,1,21.3,8,1,0,1,8,1,曇時々晴,8,1,24.2,8,1,18.0,8,1,0,1,8,1
2022/3/16,14.1,8,1,0,1,8,1,曇後晴,8,1,20.3,8,1,9.5,8,1,0,1,8,1,2.8,8,1,0.0,0,8,1,曇後時々雨,8,1,6.6,8,1,0.3,8,1,77,0,8,1,15.0,8,1,0,1,8,1,晴後一時薄曇,8,1,21.1,8,1,9.0,8,1,0,1,8,1,12.1,8,1,0.0,8,1,,0,1,23.5,8,1,2.3,8,1,0,8,1,22.1,8,1,0,1,8,1,晴,8,1,26.1,8,1,18.2,8,1,0,1,8,1
2022/3/17,14.1,8,1,0.0,0,8,1,曇一時晴,8,1,21.0,8,1,8.3,8,1,0,1,8,1,1.6,8,1,6.5,0,8,1,曇一時雨後雪、みぞれを伴う,8,1,4.3,8,1,-0.7,8,1,74,0,8,1,13.5,8,1,0,1,8,1,曇一時晴,8,1,18.6,8,1,10.4,8,1,0,1,8,1,12.9,8,1,0.0,8,1,,0,1,22.4,8,1,3.4,8,1,0,8,1,22.5,8,1,8.0,0,8,1,曇,8,1,25.1,8,1,21.0,8,1,0,1,8,1
2022/3/18,5.2,8,1,48.0,0,8,1,雨時々曇,8,1,10.3,8,1,3.8,8,1,0,1,8,1,0.9,8,1,0.0,0,8,1,晴後曇,8,1,4.2,8,1,-2.6,8,1,73,0,8,1,10.5,8,1,32.0,0,8,1,大雨,8,1,12.2,8,1,8.5,8,1,0,1,8,1,10.5,8,1,27.5,8,1,,0,1,13.7,8,1,8.2,8,1,0,8,1,21.5,8,1,56.5,0,8,1,曇時々雨、雷を伴う,8,1,23.8,8,1,19.8,8,1,0,1,8,1
2022/3/19,10.1,8,1,22.0,0,8,1,晴後曇一時雨,8,1,18.6,8,1,4.4,8,1,0,1,8,1,0.9,8,1,2.0,0,8,1,雪後曇,8,1,4.0,8,1,-1.6,8,1,72,0,8,1,9.9,8,1,4.5,0,8,1,曇後時々雨,8,1,13.5,8,1,6.8,8,1,0,1,8,1,7.2,8,1,8.5,8,1,,0,1,9.5,8,1,3.2,8,1,0,8,1,20.3,8,1,0.0,0,8,1,曇一時晴,8,1,22.6,8,1,19.2,8,1,0,1,8,1
2022/3/20,9.9,8,1,0.0,0,8,1,晴後曇,8,1,15.5,8,1,4.1,8,1,0,1,8,1,0.7,8,1,3.0,0,8,1,雪時々曇後一時あられ,8,1,2.7,8,1,-1.0,8,1,72,0,8,1,8.9,8,1,0.0,0,8,1,晴時々曇,8,1,12.9,8,1,5.5,8,1,0,1,8,1,7.6,8,1,4.0,8,1,,0,1,12.4,8,1,2.0,8,1,0,8,1,20.8,8,1,0.0,0,8,1,晴時々曇,8,1,23.8,8,1,19.0,8,1,0,1,8,1
2022/3/21,9.6,8,1,0.0,0,8,1,曇後一時晴,8,1,14.1,8,1,6.2,8,1,0,1,8,1,0.7,8,1,1.5,0,8,1,晴時々雪,8,1,4.8,8,1,-1.1,8,1,72,0,8,1,10.4,8,1,0,1,8,1,薄曇時々晴,8,1,15.2,8,1,6.7,8,1,0,1,8,1,7.6,8,1,10.0,8,1,,0,1,12.0,8,1,5.4,8,1,0,8,1,22.3,8,1,0.0,0,8,1,曇一時晴,8,1,25.6,8,1,20.2,8,1,0,1,8,1
2022/3/22,3.7,8,1,18.0,0,8,1,雨一時みぞれ,8,1,9.9,8,1,1.2,8,1,0,1,8,1,1.8,8,1,1.0,0,8,1,雪後雨、みぞれを伴う,8,1,4.8,8,1,-1.1,8,1,70,0,8,1,7.2,8,1,16.5,0,8,1,雨後晴一時曇,8,1,10.2,8,1,5.7,8,1,0,1,8,1,7.5,8,1,24.0,8,1,,0,1,11.8,8,1,4.2,8,1,0,8,1,21.5,8,1,4.5,0,8,1,曇時々雨,8,1,24.1,8,1,18.5,8,1,0,1,8,1
2022/3/23,5.2,8,1,1.0,0,8,1,薄曇,8,1,10.5,8,1,0.5,8,1,0,1,8,1,3.2,8,1,0,1,8,1,曇一時晴,8,1,7.2,8,1,-1.9,8,1,67,0,8,1,8.8,8,1,2.0,0,8,1,曇後一時雨,8,1,14.0,8,1,4.1,8,1,0,1,8,1,5.9,8,1,7.0,8,1,,0,1,9.8,8,1,1.9,8,1,0,8,1,19.2,8,1,14.5,0,8,1,雨後一時曇,8,1,21.1,8,1,17.9,8,1,0,1,8,1
2022/3/24,8.2,8,1,1.0,0,8,1,晴,8,1,14.3,8,1,2.4,8,1,0,1,8,1,4.1,8,1,0.0,0,8,1,曇時々雨,8,1,7.2,8,1,1.6,8,1,63,0,8,1,10.6,8,1,0.0,0,8,1,晴,8,1,14.5,8,1,6.3,8,1,0,1,8,1,6.9,8,1,0.0,8,1,,0,1,16.2,8,1,0.4,8,1,0,8,1,19.5,8,1,0.0,0,8,1,曇後一時晴,8,1,22.1,8,1,17.1,8,1,0,1,8,1
2022/3/25,12.2,8,1,0,1,8,1,快晴,8,1,17.6,8,1,5.2,8,1,0,1,8,1,5.3,8,1,0,1,8,1,曇時々晴,8,1,9.1,8,1,0.2,8,1,59,0,8,1,13.2,8,1,0,1,8,1,薄曇一時晴,8,1,19.5,8,1,6.7,8,1,0,1,8,1,10.9,8,1,0.0,8,1,,0,1,18.4,8,1,0.3,8,1,0,8,1,22.0,8,1,0.0,0,8,1,曇一時雨,8,1,24.1,8,1,19.9,8,1,0,1,8,1
2022/3/26,16.1,8,1,7.5,0,8,1,曇後時々雨,8,1,19.0,8,1,13.3,8,1,0,1,8,1,5.7,8,1,5.5,0,8,1,曇後時々雨,8,1,7.8,8,1,3.9,8,1,53,0,8,1,15.3,8,1,13.5,0,8,1,雨一時曇,8,1,18.7,8,1,12.0,8,1,0,1,8,1,14.2,8,1,47.5,8,1,,0,1,17.8,8,1,10.8,8,1,0,8,1,22.7,8,1,9.5,0,8,1,雨一時曇,8,1,25.3,8,1,19.7,8,1,0,1,8,1
2022/3/27,16.2,8,1,0.5,0,8,1,曇一時晴,8,1,21.4,8,1,11.5,8,1,0,1,8,1,7.2,8,1,1.0,0,8,1,曇後晴,8,1,11.8,8,1,4.6,8,1,46,0,8,1,15.5,8,1,2.0,0,8,1,晴一時曇,8,1,20.0,8,1,12.9,8,1,0,1,8,1,13.2,8,1,0.0,8,1,,0,1,18.5,8,1,9.5,8,1,0,8,1,19.1,8,1,52.5,0,8,1,大雨後曇,8,1,20.4,8,1,17.3,8,1,0,1,8,1
2022/3/28,13.5,8,1,0.0,0,8,1,晴時々曇,8,1,19.0,8,1,10.7,8,1,0,1,8,1,5.1,8,1,1.5,0,8,1,雨時々曇後一時晴、みぞれを伴う,8,1,6.7,8,1,1.8,8,1,41,0,8,1,12.1,8,1,0,1,8,1,晴後曇,8,1,15.5,8,1,8.5,8,1,0,1,8,1,10.9,8,1,0.0,8,1,,0,1,15.7,8,1,7.7,8,1,0,8,1,18.2,8,1,1.0,0,8,1,雨時々曇,8,1,19.6,8,1,17.1,8,1,0,1,8,1
2022/3/29,10.2,8,1,0,1,8,1,曇,8,1,11.0,8,1,9.1,8,1,0,1,8,1,6.9,8,1,0,1,8,1,晴,8,1,13.1,8,1,1.1,8,1,38,0,8,1,11.6,8,1,0,1,8,1,曇,8,1,16.2,8,1,7.8,8,1,0,1,8,1,11.0,8,1,0.0,8,1,,0,1,16.7,8,1,6.5,8,1,0,8,1,21.0,8,1,2.5,0,8,1,曇,8,1,23.6,8,1,17.6,8,1,0,1,8,1
2022/3/30,14.5,8,1,0.0,0,8,1,曇一時晴,8,1,20.3,8,1,9.3,8,1,0,1,8,1,4.8,8,1,0.0,0,8,1,曇時々雨一時晴,8,1,10.4,8,1,1.9,8,1,34,0,8,1,15.4,8,1,0,1,8,1,晴後薄曇,8,1,21.2,8,1,9.5,8,1,0,1,8,1,15.0,8,1,0.0,8,1,,0,1,20.2,8,1,9.9,8,1,0,8,1,22.5,8,1,0.0,0,8,1,雨一時曇,8,1,25.3,8,1,21.1,8,1,0,1,8,1
2022/3/31,15.1,8,1,7.0,0,8,1,曇,8,1,22.8,8,1,8.9,8,1,0,1,8,1,3.7,8,1,0.0,0,8,1,晴後雪,8,1,8.4,5,1,0.9,8,1,30,0,8,1,13.5,8,1,5.5,0,8,1,雨一時曇,8,1,16.2,8,1,8.9,8,1,0,1,8,1,13.3,8,1,8.5,8,1,,0,1,18.6,8,1,9.3,8,1,0,8,1,23.8,8,1,0.5,0,8,1,曇一時霧雨,8,1,26.8,8,1,21.5,8,1,0,1,8,1
2022/4/1,7.6,8,1,16.5,0,8,1,曇一時雨,8,1,12.4,8,1,3.9,8,1,0,1,8,1,1.2,8,1,1.0,0,8,1,雪時々晴後一時曇,8,1,4.6,8,1,-0.9,8,1,26,0,8,1,9.5,8,1,3.0,0,8,1,晴,8,1,14.0,8,1,6.9,8,1,0,1,8,1,9.0,8,1,0.0,8,1,,0,1,14.0,8,1,3.2,8,1,0,8,1,20.2,8,1,0.0,0,8,1,曇,8,1,22.2,8,1,18.8,8,1,0,1,8,1
2022/4/2,8.5,8,1,0,1,8,1,薄曇時々晴,8,1,12.9,8,1,3.6,8,1,0,1,8,1,5.0,8,1,0.0,0,8,1,晴,8,1,9.3,8,1,-0.2,8,1,25,0,8,1,9.5,8,1,0.0,0,8,1,薄曇,8,1,14.8,8,1,5.2,8,1,0,1,8,1,7.4,8,1,0.0,8,1,,0,1,14.5,8,1,0.9,8,1,0,8,1,17.5,8,1,4.5,0,8,1,雨時々曇,8,1,19.1,8,1,16.2,8,1,0,1,8,1
2022/4/3,8.2,8,1,13.5,0,8,1,雨一時曇,8,1,10.1,8,1,6.6,8,1,0,1,8,1,8.0,8,1,0,1,8,1,晴,8,1,12.2,8,1,4.0,8,1,20,0,8,1,10.7,8,1,2.0,0,8,1,雨一時曇,8,1,13.0,8,1,8.8,8,1,0,1,8,1,8.2,8,1,0.0,8,1,,0,1,17.6,8,1,-0.3,8,1,0,8,1,17.7,8,1,5.0,0,8,1,雨,8,1,18.6,8,1,16.7,8,1,0,1,8,1
2022/4/4,8.5,8,1,53.5,0,8,1,大雨,8,1,9.8,8,1,6.7,8,1,0,1,8,1,8.7,8,1,0,1,8,1,快晴,8,1,14.2,8,1,2.1,8,1,14,0,8,1,13.0,8,1,0,1,8,1,晴,8,1,19.8,8,1,9.4,8,1,0,1,8,1,8.5,8,1,0.0,8,1,,0,1,18.4,8,1,-0.7,8,1,0,8,1,19.1,8,1,0,1,8,1,晴後時々曇,8,1,21.6,8,1,16.8,8,1,0,1,8,1
